Point Size, Line Height, Baseline
11, 10, 1
11, 11, 2
11, 12, 2
11, 13, 3
11, 14, 3
11, 15, 4
11, 16, 4
11, 17, 5
11, 18, 5
11, 19, 6
11, 20, 6
11, 21, 7
11, 22, 7
11, 23, 8
11, 24, 8
11, 25, 9
11, 26, 9
11, 27, 10
11, 28, 10
11, 29, 11
11, 30, 11
11, 31, 12
11, 32, 12
11, 33, 13
11, 34, 13
11, 35, 14
11, 36, 14
11, 37, 15
11, 38, 15
11, 39, 16
11, 40, 16
11, 41, 17
11, 42, 17
11, 43, 18
11, 44, 18
11, 45, 19
11, 46, 19
11, 47, 20
11, 48, 20
11, 49, 21
11, 50, 21
12, 10, 1
12, 11, 1
12, 12, 2
12, 13, 2
12, 14, 3
12, 15, 3
12, 16, 4
12, 17, 4
12, 18, 5
12, 19, 5
12, 20, 6
12, 21, 6
12, 22, 7
12, 23, 7
12, 24, 8
12, 25, 8
12, 26, 9
12, 27, 9
12, 28, 10
12, 29, 10
12, 30, 11
12, 31, 11
12, 32, 12
12, 33, 12
12, 34, 13
12, 35, 13
12, 36, 14
12, 37, 14
12, 38, 15
12, 39, 15
12, 40, 16
12, 41, 16
12, 42, 17
12, 43, 17
12, 44, 18
12, 45, 18
12, 46, 19
12, 47, 19
12, 48, 20
12, 49, 20
12, 50, 21
13, 10, 0
13, 11, 1
13, 12, 1
13, 13, 2
13, 14, 2
13, 15, 3
13, 16, 3
13, 17, 4
13, 18, 4
13, 19, 5
13, 20, 5
13, 21, 6
13, 22, 6
13, 23, 7
13, 24, 7
13, 25, 8
13, 26, 8
13, 27, 9
13, 28, 9
13, 29, 10
13, 30, 10
13, 31, 11
13, 32, 11
13, 33, 12
13, 34, 12
13, 35, 13
13, 36, 13
13, 37, 14
13, 38, 14
13, 39, 15
13, 40, 15
13, 41, 16
13, 42, 16
13, 43, 17
13, 44, 17
13, 45, 18
13, 46, 18
13, 47, 19
13, 48, 19
13, 49, 20
13, 50, 20
14, 10, 0
14, 11, 1
14, 12, 1
14, 13, 2
14, 14, 2
14, 15, 3
14, 16, 3
14, 17, 4
14, 18, 4
14, 19, 5
14, 20, 5
14, 21, 6
14, 22, 6
14, 23, 7
14, 24, 7
14, 25, 8
14, 26, 8
14, 27, 9
14, 28, 9
14, 29, 10
14, 30, 10
14, 31, 11
14, 32, 11
14, 33, 12
14, 34, 12
14, 35, 13
14, 36, 13
14, 37, 14
14, 38, 14
14, 39, 15
14, 40, 15
14, 41, 16
14, 42, 16
14, 43, 17
14, 44, 17
14, 45, 18
14, 46, 18
14, 47, 19
14, 48, 19
14, 49, 20
14, 50, 20
15, 10, 0
15, 11, 0
15, 12, 1
15, 13, 1
15, 14, 2
15, 15, 2
15, 16, 3
15, 17, 3
15, 18, 4
15, 19, 4
15, 20, 5
15, 21, 5
15, 22, 6
15, 23, 6
15, 24, 7
15, 25, 7
15, 26, 8
15, 27, 8
15, 28, 9
15, 29, 9
15, 30, 10
15, 31, 10
15, 32, 11
15, 33, 11
15, 34, 12
15, 35, 12
15, 36, 13
15, 37, 13
15, 38, 14
15, 39, 14
15, 40, 15
15, 41, 15
15, 42, 16
15, 43, 16
15, 44, 17
15, 45, 17
15, 46, 18
15, 47, 18
15, 48, 19
15, 49, 19
15, 50, 20
16, 10, 0
16, 11, 0
16, 12, 0
16, 13, 1
16, 14, 1
16, 15, 2
16, 16, 2
16, 17, 3
16, 18, 3
16, 19, 4
16, 20, 4
16, 21, 5
16, 22, 5
16, 23, 6
16, 24, 6
16, 25, 7
16, 26, 7
16, 27, 8
16, 28, 8
16, 29, 9
16, 30, 9
16, 31, 10
16, 32, 10
16, 33, 11
16, 34, 11
16, 35, 12
16, 36, 12
16, 37, 13
16, 38, 13
16, 39, 14
16, 40, 14
16, 41, 15
16, 42, 15
16, 43, 16
16, 44, 16
16, 45, 17
16, 46, 17
16, 47, 18
16, 48, 18
16, 49, 19
16, 50, 19
17, 10, 0
17, 11, 0
17, 12, 0
17, 13, 0
17, 14, 1
17, 15, 1
17, 16, 2
17, 17, 2
17, 18, 3
17, 19, 3
17, 20, 4
17, 21, 4
17, 22, 5
17, 23, 5
17, 24, 6
17, 25, 6
17, 26, 7
17, 27, 7
17, 28, 8
17, 29, 8
17, 30, 9
17, 31, 9
17, 32, 10
17, 33, 10
17, 34, 11
17, 35, 11
17, 36, 12
17, 37, 12
17, 38, 13
17, 39, 13
17, 40, 14
17, 41, 14
17, 42, 15
17, 43, 15
17, 44, 16
17, 45, 16
17, 46, 17
17, 47, 17
17, 48, 18
17, 49, 18
17, 50, 19
18, 10, 0
18, 11, 0
18, 12, 0
18, 13, 0
18, 14, 1
18, 15, 1
18, 16, 2
18, 17, 2
18, 18, 3
18, 19, 3
18, 20, 4
18, 21, 4
18, 22, 5
18, 23, 5
18, 24, 6
18, 25, 6
18, 26, 7
18, 27, 7
18, 28, 8
18, 29, 8
18, 30, 9
18, 31, 9
18, 32, 10
18, 33, 10
18, 34, 11
18, 35, 11
18, 36, 12
18, 37, 12
18, 38, 13
18, 39, 13
18, 40, 14
18, 41, 14
18, 42, 15
18, 43, 15
18, 44, 16
